Epoch,Index,Answer,Output,Error,Fact
1186,14,0,[0.2023591],[-0.2023591],Bad Fact
1186,15,0,[0.19165068],[-0.19165068],Good Fact
1186,16,1,[0.8559397],[0.1440603],Good Fact
1186,17,0,[0.35628208],[-0.35628208],Bad Fact
1186,18,1,[0.80522596],[0.19477404],Good Fact
1186,19,1,[0.80845943],[0.19154057],Good Fact
1186,20,1,[0.48989456],[0.51010544],Bad Fact
1186,21,1,[0.85913691],[0.14086309],Good Fact
1186,22,0,[0.31431655],[-0.31431655],Bad Fact
1186,23,0,[0.12733601],[-0.12733601],Good Fact
1186,24,1,[0.49674379],[0.50325621],Bad Fact
1186,25,0,[0.16596545],[-0.16596545],Good Fact
1186,26,1,[0.26847909],[0.73152091],Bad Fact
1187,1,0,[0.11866105],[-0.11866105],Good Fact
1187,2,0,[0.19698874],[-0.19698874],Good Fact
1187,3,1,[0.79602693],[0.20397307],Bad Fact
1187,4,0,[0.19182921],[-0.19182921],Good Fact
1187,5,1,[0.82030129],[0.17969871],Good Fact
1187,6,1,[0.83581065],[0.16418935],Good Fact
1187,7,0,[0.19749262],[-0.19749262],Good Fact
1187,8,0,[0.05480729],[-0.05480729],Good Fact
1187,9,0,[0.04336919],[-0.04336919],Good Fact
1187,10,1,[0.94814377],[0.05185623],Good Fact
1187,11,1,[0.49651374],[0.50348626],Bad Fact
1187,12,0,[0.03970405],[-0.03970405],Good Fact
1187,13,1,[0.84072157],[0.15927843],Good Fact
1187,14,0,[0.19967512],[-0.19967512],Good Fact
1187,15,0,[0.19839475],[-0.19839475],Good Fact
1187,16,1,[0.86881789],[0.13118211],Good Fact
1187,17,0,[0.37011078],[-0.37011078],Bad Fact
1187,18,1,[0.81022613],[0.18977387],Good Fact
1187,19,1,[0.81371057],[0.18628943],Good Fact
1187,20,1,[0.49007487],[0.50992513],Bad Fact
1187,21,1,[0.86733818],[0.13266182],Good Fact
1187,22,0,[0.32471333],[-0.32471333],Bad Fact
1187,23,0,[0.13291642],[-0.13291642],Good Fact
1187,24,1,[0.49681572],[0.50318428],Bad Fact
1187,25,0,[0.16711711],[-0.16711711],Good Fact
1187,26,1,[0.27591191],[0.72408809],Bad Fact
1188,1,0,[0.1208418],[-0.1208418],Good Fact
1188,2,0,[0.19786653],[-0.19786653],Good Fact
1188,3,1,[0.81673853],[0.18326147],Good Fact
1188,4,0,[0.19147679],[-0.19147679],Good Fact
1188,5,1,[0.81621333],[0.18378667],Good Fact
1188,6,1,[0.83235031],[0.16764969],Good Fact
1188,7,0,[0.19694176],[-0.19694176],Good Fact
1188,8,0,[0.05429173],[-0.05429173],Good Fact
1188,9,0,[0.04295199],[-0.04295199],Good Fact
1188,10,1,[0.94708905],[0.05291095],Good Fact
1188,11,1,[0.4965308],[0.5034692],Bad Fact
1188,12,0,[0.03916488],[-0.03916488],Good Fact
1188,13,1,[0.83773371],[0.16226629],Good Fact
1188,14,0,[0.19889828],[-0.19889828],Good Fact
1188,15,0,[0.19783188],[-0.19783188],Good Fact
1188,16,1,[0.86587051],[0.13412949],Good Fact
1188,17,0,[0.36268254],[-0.36268254],Bad Fact
1188,18,1,[0.806723],[0.193277],Good Fact
1188,19,1,[0.81023801],[0.18976199],Good Fact
